price
"       125,000"
"        86,500"
"        64,000"
"       125,000"
"        71,000"
"       104,000"
"       127,500"
"        75,000"
"        90,000"
"       110,000"
"        70,400"
"        68,000"
"        83,500"
"       156,900"
"       209,000"
"       262,500"
"       185,000"
"       113,000"
"        91,000"
"       220,000"
"       138,000"
"       220,000"
"        85,000"
"       115,000"
"       147,000"
"       148,500"
"       153,000"
"       148,000"
"       123,000"
"       146,000"
"       145,000"
"        85,000"
"       154,000"
"       181,500"
"        82,500"
"       101,000"
"       124,500"
"       159,500"
"       115,500"
"       198,000"
"        91,000"
"       190,000"
"       162,500"
"       169,900"
"       177,000"
"        79,700"
"        85,500"
"        95,000"
"       105,000"
"       122,000"
"       103,000"
"        99,500"
"       168,000"
"       146,500"
"       138,000"
"        81,500"
"       165,000"
"       180,000"
"       170,000"
"       165,000"
"       143,000"
"       237,000"
"       295,000"
"       151,000"
"       130,000"
"        80,000"
"       171,000"
"        79,000"
"        76,500"
"        75,000"
"        91,000"
"       152,000"
"       114,000"
