doro,one,two,three,delta
서울특별시 강서구 강서로37길 78,1565,1526,1675,110 
서울특별시 강서구 강서로41길 20,1597,1828,1918,321 
서울특별시 강서구 강서로43길 17,1690,1900,1886,196 
서울특별시 강서구 강서로43길 28,1636,2211,2013,377 
서울특별시 강서구 강서로45길 104,2006,1760,2110,104 
서울특별시 강서구 강서로45길 138,1864,1764,2020,156 
서울특별시 강서구 강서로45길 18,1923,2112,2369,446 
서울특별시 강서구 강서로45길 49-4,2306,0,3400,1094 
서울특별시 강서구 강서로45나길 15,2051,2184,2319,268 
서울특별시 강서구 강서로45다길 12-9,1359,0,1936,577 
서울특별시 강서구 강서로45다길 30-17,2215,2144,2320,105 
서울특별시 강서구 강서로45다길 30-27,2334,2606,2998,664 
서울특별시 강서구 강서로45라길 15,1873,0,2059,186 
서울특별시 강서구 강서로45라길 52,1815,0,2234,419 
서울특별시 강서구 강서로46길 60,1945,0,2453,508 
서울특별시 강서구 강서로46길 78,1884,0,2862,978 
서울특별시 강서구 강서로46길 79,2019,2307,2582,563 
서울특별시 강서구 강서로47가길 20-35,1754,0,2195,441 
서울특별시 강서구 강서로47길 108,2554,2850,3182,628 
서울특별시 강서구 강서로47길 158,2600,3201,3468,868 
서울특별시 강서구 강서로47길 80,2022,1964,2199,177 
서울특별시 강서구 강서로47나길 39,1675,1981,2028,353 
서울특별시 강서구 강서로47다길 10-3,1627,0,2209,582 
서울특별시 강서구 강서로47다길 10-6,1367,1857,1776,409 
서울특별시 강서구 강서로47다길 28,1704,1790,2047,343 
서울특별시 강서구 강서로47라길 22,1638,1975,2252,614 
서울특별시 강서구 강서로47라길 48-7,1654,0,1935,281 
서울특별시 강서구 강서로47라길 79,1851,2060,2048,197 
서울특별시 강서구 강서로47마길 37-4,1855,1693,2120,265 
서울특별시 강서구 강서로47마길 71,2001,2332,2318,317 
서울특별시 강서구 강서로47바길 43,1268,1519,1540,272 
서울특별시 강서구 강서로56나길 110,2377,2660,3233,856 
서울특별시 강서구 강서로56나길 37,2947,3737,3728,781 
서울특별시 강서구 강서로5나길 104,1281,1322,1453,172 
서울특별시 강서구 강서로5나길 130-5,1681,0,1782,101 
서울특별시 강서구 강서로5나길 50,1195,1069,1092,-103 
서울특별시 강서구 강서로5나길 83,1065,1071,1337,272 
서울특별시 강서구 강서로5라길 58,1500,1491,1807,307 
서울특별시 강서구 강서로68길 108,1934,2280,2448,514 
서울특별시 강서구 강서로68길 36,2610,3383,3519,909 
서울특별시 강서구 강서로7길 107,2190,2273,1855,-335 
서울특별시 강서구 강서로7길 118,1458,1503,2031,573 
서울특별시 강서구 강서로7길 141,972,0,1511,539 
서울특별시 강서구 강서로7길 20-10,2195,2289,1832,-363 
서울특별시 강서구 강서로7길 28,1210,1355,1410,200 
서울특별시 강서구 강서로7길 52-11,1118,0,1314,196 
서울특별시 강서구 강서로7길 70,2358,2507,2552,194 
서울특별시 강서구 강서로7길 82,1394,1495,1717,323 
서울특별시 강서구 강서로8길 11,2012,1800,2108,96 
서울특별시 강서구 개화동로25길 39,1718,2435,3007,1289 
서울특별시 강서구 개화동로27가길 33,2260,2237,2163,-97 
서울특별시 강서구 개화동로27길 43,2170,2532,3616,1446 
서울특별시 강서구 곰달래로 110,1441,1590,1586,145 
서울특별시 강서구 곰달래로 110-1,2011,0,2941,930 
서울특별시 강서구 곰달래로 64,1163,1132,1533,370 
서울특별시 강서구 곰달래로 96,1649,1385,2010,361 
서울특별시 강서구 곰달래로18길 15-3,1674,1612,1776,102 
서울특별시 강서구 곰달래로18길 3,1881,2161,2045,164 
서울특별시 강서구 곰달래로18길 33-13,1204,1226,1281,77 
서울특별시 강서구 곰달래로20길 12,1163,1284,1338,175 
서울특별시 강서구 곰달래로20길 18,1733,1861,1921,188 
서울특별시 강서구 곰달래로20길 31-10,1160,1202,1318,158 
서울특별시 강서구 곰달래로20길 31-11,1052,902,1002,-50 
서울특별시 강서구 곰달래로20길 31-19,1306,1301,1306,0 
서울특별시 강서구 곰달래로20길 31-5,1623,1488,1522,-101 
서울특별시 강서구 곰달래로20길 31-7,2545,2438,2222,-323 
서울특별시 강서구 곰달래로22길 15,1985,1917,2062,77 
서울특별시 강서구 곰달래로22길 18,1706,1742,1862,156 
서울특별시 강서구 곰달래로22길 27,2149,2266,2268,119 
서울특별시 강서구 곰달래로23길 16,1598,1603,1728,130 
서울특별시 강서구 곰달래로23길 20,2698,2547,2651,-47 
서울특별시 강서구 곰달래로23길 26,2604,2511,2938,334 
서울특별시 강서구 곰달래로23길 8,1172,0,1307,135 
서울특별시 강서구 곰달래로24길 12,2824,2586,2920,96 
서울특별시 강서구 곰달래로24길 4,2974,2592,2547,-427 
서울특별시 강서구 곰달래로26길 12,1949,2174,2282,333 
서울특별시 강서구 곰달래로26길 15,975,0,1198,223 
서울특별시 강서구 곰달래로31마길 43,1136,1045,1068,-68 
서울특별시 강서구 곰달래로35길 116,1458,1349,1706,248 
서울특별시 강서구 곰달래로56길 39,1465,1583,1584,119 
서울특별시 강서구 곰달래로59길 36,1482,1907,2149,667 
서울특별시 강서구 공항대로 124,4460,4402,4956,496 
서울특별시 강서구 공항대로 140,3887,3926,4148,261 
서울특별시 강서구 공항대로 351-21,2253,2600,2812,559 
서울특별시 강서구 공항대로 382,2030,1939,2481,451 
서울특별시 강서구 공항대로 637,2396,2830,3632,1236 
서울특별시 강서구 공항대로36가길 66,1831,0,1979,148 
서울특별시 강서구 공항대로39길 100,1917,1960,2671,754 
서울특별시 강서구 공항대로39길 74,2772,3380,3511,739 
서울특별시 강서구 공항대로42길 23-8,1740,1847,2022,282 
서울특별시 강서구 공항대로42길 51-8,1582,2060,2281,699 
서울특별시 강서구 공항대로42길 54-26,2363,2059,3134,771 
서울특별시 강서구 공항대로43길 104,2772,3251,3452,680 
서울특별시 강서구 공항대로45길 24,1641,2100,2379,738 
서울특별시 강서구 공항대로45길 68-6,2355,3045,3028,673 
서울특별시 강서구 공항대로46길 28,2355,2265,2158,-197 
서울특별시 강서구 공항대로48길 12,2034,1612,1531,-503 
서울특별시 강서구 공항대로4길 17,1357,0,1485,128 
서울특별시 강서구 공항대로4길 21,1461,1649,1378,-83 
서울특별시 강서구 공항대로51길 23,1796,0,2250,454 
서울특별시 강서구 공항대로55길 19,2273,2264,2719,446 
서울특별시 강서구 공항대로55길 50,2181,2243,2769,588 
서울특별시 강서구 공항대로55길 9-37,1735,0,1985,250 
서울특별시 강서구 공항대로58다길 13,1484,1341,1529,45 
서울특별시 강서구 공항대로59길 103,2351,2401,3252,901 
서울특별시 강서구 공항대로59길 35,2504,2123,2223,-281 
서울특별시 강서구 공항대로59길 64,1884,2331,2733,849 
서울특별시 강서구 공항대로59다길 1,1598,2037,2296,698 
서울특별시 강서구 공항대로59다길 61,2214,2439,3095,881 
서울특별시 강서구 공항대로61길 43,2329,2865,2680,351 
서울특별시 강서구 공항대로61길 60,2079,2487,2862,783 
서울특별시 강서구 공항대로63길 14,1874,2136,2662,788 
서울특별시 강서구 공항대로63길 16,2369,3343,3906,1537 
서울특별시 강서구 공항대로65가길 17,1509,0,1724,215 
서울특별시 강서구 공항대로65가길 49,1698,0,1783,85 
서울특별시 강서구 공항대로65길 21,2558,3201,2962,404 
서울특별시 강서구 공항대로71길 31,2081,2961,3529,1448 
서울특별시 강서구 공항대로71길 49,1806,2233,2516,710 
서울특별시 강서구 공항대로71길 54,2085,2874,3430,1345 
서울특별시 강서구 공항대로75길 17,3122,3536,3354,232 
서울특별시 강서구 공항대로75길 42,2034,2527,2830,796 
서울특별시 강서구 국회대로7길 157,1543,0,1382,-161 
서울특별시 강서구 국회대로7길 91,1396,1177,1197,-199 
서울특별시 강서구 금낭화로 12,1622,1982,2236,614 
서울특별시 강서구 금낭화로 162,2416,2760,2760,344 
서울특별시 강서구 금낭화로 167,1478,2009,2033,555 
서울특별시 강서구 금낭화로 258,1593,1810,2054,461 
서울특별시 강서구 금낭화로 287-19,2339,3092,3110,771 
서울특별시 강서구 금낭화로 32,1452,0,1617,165 
서울특별시 강서구 금낭화로13길 36,1659,0,1856,197 
서울특별시 강서구 금낭화로15길 33-5,1366,1733,1745,379 
서울특별시 강서구 금낭화로23길 8,2040,2297,2472,432 
서울특별시 강서구 금낭화로24가길 28,1631,2519,2129,498 
서울특별시 강서구 금낭화로24가길 6,2037,0,2608,571 
서울특별시 강서구 까치산로 160-9,1346,1410,1458,112 
서울특별시 강서구 까치산로12길 7,1246,1054,1297,51 
서울특별시 강서구 까치산로14길 26-10,1277,0,1684,407 
서울특별시 강서구 까치산로24가길 10-3,966,0,1403,437 
서울특별시 강서구 까치산로2길 58,1255,1482,1330,75 
서울특별시 강서구 까치산로4길 98-23,909,0,1124,215 
서울특별시 강서구 까치산로4길 98-25,997,0,1061,64 
서울특별시 강서구 남부순환로 11,2252,2520,2497,245 
서울특별시 강서구 등촌로 113,1753,2430,2844,1091 
서울특별시 강서구 등촌로 137,2101,2156,2719,618 
서울특별시 강서구 등촌로 163,2066,2815,2905,839 
서울특별시 강서구 등촌로 91,1944,2392,2661,717 
서울특별시 강서구 등촌로13다길 29,1341,1403,1475,134 
서울특별시 강서구 등촌로13마길 29-3,1347,1188,1584,237 
서울특별시 강서구 등촌로13바길 18-11,1386,1584,2176,790 
서울특별시 강서구 등촌로13바길 28-11,1134,1107,1198,64 
서울특별시 강서구 등촌로13바길 28-7,1216,0,1099,-117 
서울특별시 강서구 등촌로13아길 44,1502,1460,1293,-209 
서울특별시 강서구 등촌로13자길 39-10,1183,1254,1228,45 
서울특별시 강서구 등촌로13자길 51,1093,922,1161,68 
서울특별시 강서구 등촌로13자길 74,1164,1477,1748,584 
서울특별시 강서구 등촌로13자길 79,1285,1454,1591,306 
서울특별시 강서구 등촌로39길 63-36,1377,1398,1573,196 
서울특별시 강서구 등촌로51가길 15,1616,1737,1735,119 
서울특별시 강서구 등촌로51길 128,1434,1609,1650,216 
서울특별시 강서구 등촌로53길 39,2153,1856,2725,572 
서울특별시 강서구 마곡서1로 100,3431,4074,4138,707 
서울특별시 강서구 마곡서1로 111-11,2686,3347,4352,1666 
서울특별시 강서구 마곡서1로 131,3345,3944,4041,696 
서울특별시 강서구 마곡서1로 132,3418,3520,3705,287 
서울특별시 강서구 마곡서1로 146,3266,3762,3750,484 
서울특별시 강서구 마곡서1로 81,4084,3499,4296,212 
서울특별시 강서구 마곡서로 133,3424,3405,4953,1529 
서울특별시 강서구 마곡서로 175,3500,3103,4473,973 
서울특별시 강서구 마곡중앙1로 71,3622,4566,4877,1255 
서울특별시 강서구 마곡중앙1로 72,3448,3693,4004,556 
서울특별시 강서구 마곡중앙3로 74,3823,3653,4901,1078 
서울특별시 강서구 마곡중앙로 33,3330,3499,4150,820 
서울특별시 강서구 마곡중앙로 36,3066,3507,4300,1234 
서울특별시 강서구 방화대로 259,1891,2115,2466,575 
서울특별시 강서구 방화대로 319,2052,2713,2641,589 
서울특별시 강서구 방화대로34길 110,2751,3053,3253,502 
서울특별시 강서구 방화대로34길 113,1945,2725,3083,1138 
서울특별시 강서구 방화대로34길 62,2436,2613,2988,552 
서울특별시 강서구 방화대로34길 88,2808,2665,3494,686 
서울특별시 강서구 방화대로37길 15,2278,2567,2778,500 
서울특별시 강서구 방화대로37길 26,1864,2728,2454,590 
서울특별시 강서구 방화대로37길 35,1742,2116,2291,549 
서울특별시 강서구 방화대로40길 66,1786,2225,2315,529 
서울특별시 강서구 방화대로41길 6,2307,2913,3089,782 
서울특별시 강서구 방화대로41길 9,2499,0,2815,316 
서울특별시 강서구 방화대로44길 42,1946,2128,2261,315 
서울특별시 강서구 방화대로45길 32,2005,2124,2410,405 
서울특별시 강서구 방화대로45길 78,1690,0,2331,641 
서울특별시 강서구 방화대로47가길 22,1428,1716,1965,537 
서울특별시 강서구 방화대로47길 55,2180,2213,2658,478 
서울특별시 강서구 방화대로48길 40,2108,2596,2569,461 
서울특별시 강서구 방화대로50길 7,1634,1937,2543,909 
서울특별시 강서구 방화동로 126,1655,1606,1745,90 
서울특별시 강서구 수명로1길 110,2542,1636,2951,409 
서울특별시 강서구 수명로1길 16,2698,3309,3544,846 
서울특별시 강서구 수명로2가길 22,2026,2334,2616,590 
서울특별시 강서구 수명로2길 105,3046,3528,3568,522 
서울특별시 강서구 수명로2길 63,2290,2806,2903,613 
서울특별시 강서구 양천로 125,2025,2795,2296,271 
서울특별시 강서구 양천로 128,1603,1720,2025,422 
서울특별시 강서구 양천로 132,1673,1681,1994,321 
서울특별시 강서구 양천로 140,1983,1962,2304,321 
서울특별시 강서구 양천로 420,1930,2330,3036,1106 
서울특별시 강서구 양천로 489,2267,2756,2892,625 
서울특별시 강서구 양천로 497,1906,2971,2815,909 
서울특별시 강서구 양천로 507,2560,2718,3263,703 
서울특별시 강서구 양천로 521,1943,2759,2970,1027 
서울특별시 강서구 양천로 590,2289,2330,2796,507 
서울특별시 강서구 양천로 595,2218,2645,3508,1290 
서울특별시 강서구 양천로 613,2431,3690,3226,795 
서울특별시 강서구 양천로 637,2124,2753,2815,691 
서울특별시 강서구 양천로 656,2391,3302,3410,1019 
서울특별시 강서구 양천로 663,1943,2666,2724,781 
서울특별시 강서구 양천로 666,2411,2854,3456,1045 
서울특별시 강서구 양천로 686-5,1752,2099,2361,609 
서울특별시 강서구 양천로 706,1730,1973,2231,501 
서울특별시 강서구 양천로 731,2323,3261,2912,589 
서울특별시 강서구 양천로14가길 23,1787,2057,2326,539 
서울특별시 강서구 양천로14가길 35,1448,0,1281,-167 
서울특별시 강서구 양천로14길 118,1559,2098,2388,829 
서울특별시 강서구 양천로14길 17,1496,2026,1902,406 
서울특별시 강서구 양천로14길 37,1675,2062,2396,721 
서울특별시 강서구 양천로14길 61,2194,2309,2097,-97 
서울특별시 강서구 양천로14길 86-13,1882,1830,2361,479 
서울특별시 강서구 양천로14길 86-5,1327,1438,1635,308 
서울특별시 강서구 양천로18길 27,1731,2420,2237,506 
서울특별시 강서구 양천로1길 117,1690,2373,2276,586 
서울특별시 강서구 양천로23길 8,1859,2350,2712,853 
서울특별시 강서구 양천로23길 9,1887,2409,2677,790 
서울특별시 강서구 양천로24가길 59,1943,2478,2660,717 
서울특별시 강서구 양천로24길 34,1748,2124,2194,446 
서울특별시 강서구 양천로24길 54-9,2137,2110,2474,337 
서울특별시 강서구 양천로26길 103,2127,2060,2914,787 
서울특별시 강서구 양천로26길 38,2540,2465,3202,662 
서울특별시 강서구 양천로27길 129,1985,2229,2240,255 
서울특별시 강서구 양천로27길 95,1076,1286,1364,288 
서울특별시 강서구 양천로28길 29,2042,2420,2639,597 
서울특별시 강서구 양천로30길 108,2349,2420,2838,489 
서울특별시 강서구 양천로30길 123-9,2696,3576,3392,696 
서울특별시 강서구 양천로30길 77,2779,2566,4124,1345 
서울특별시 강서구 양천로30길 98,2413,3176,2930,517 
서울특별시 강서구 양천로3길 17,1709,2292,2688,979 
서울특별시 강서구 양천로47길 118,2097,2161,2524,427 
서울특별시 강서구 양천로47길 94,2308,2564,2678,370 
서울특별시 강서구 양천로47나길 13-8,1660,0,2408,748 
서울특별시 강서구 양천로49길 49-6,1386,0,1479,93 
서울특별시 강서구 양천로49길 77,1506,0,1888,382 
서울특별시 강서구 양천로53길 66,2036,1986,2781,745 
서울특별시 강서구 양천로55길 55,2690,3500,3141,451 
서울특별시 강서구 양천로62길 41,2012,2532,2846,834 
서울특별시 강서구 양천로62길 46,1911,2001,2228,317 
서울특별시 강서구 양천로63길 38,2310,2770,3330,1020 
서울특별시 강서구 양천로63길 51,2282,2819,3497,1215 
서울특별시 강서구 양천로63길 52,1840,2414,2537,697 
서울특별시 강서구 양천로65길 45,1774,3083,1846,72 
서울특별시 강서구 양천로65길 46,1825,2021,2318,493 
서울특별시 강서구 양천로66길 6,2048,2487,2640,592 
서울특별시 강서구 양천로67가길 49,1948,2064,2530,582 
서울특별시 강서구 양천로67가길 56,1822,2486,2608,786 
서울특별시 강서구 양천로67길 21,1690,1937,2246,556 
서울특별시 강서구 양천로67길 32,2077,2448,2857,780 
서울특별시 강서구 양천로67길 50-33,1712,1244,1988,276 
서울특별시 강서구 양천로67길 54,1940,2438,2764,824 
서울특별시 강서구 양천로67길 71-16,1869,0,2640,771 
서울특별시 강서구 양천로67길 77,1819,2394,2688,869 
서울특별시 강서구 양천로69길 18,2134,2095,2559,425 
서울특별시 강서구 양천로69길 58,2068,2806,2854,786 
서울특별시 강서구 양천로69길 65,1918,1851,3415,1497 
서울특별시 강서구 양천로6길 28,2003,2619,2573,570 
서울특별시 강서구 양천로6길 57,1751,2416,2434,683 
서울특별시 강서구 양천로71가길 21,1980,2233,2408,428 
서울특별시 강서구 양천로71가길 22,2250,2660,3186,936 
서울특별시 강서구 양천로71길 38,2307,2874,3145,838 
서울특별시 강서구 양천로71길 54,2128,2803,3192,1064 
서울특별시 강서구 양천로73가길 28,1638,2107,2520,882 
서울특별시 강서구 양천로73가길 38,1762,0,2444,682 
서울특별시 강서구 양천로73길 24,2431,2995,3474,1043 
서울특별시 강서구 양천로73길 5,1840,2088,2756,916 
서울특별시 강서구 양천로73길 6,1874,1940,2289,415 
서울특별시 강서구 양천로73길 80,2072,2292,3018,946 
서울특별시 강서구 양천로75길 19,2625,2737,3471,846 
서울특별시 강서구 양천로75길 22-21,2123,2235,2518,395 
서울특별시 강서구 양천로75길 57,1804,2218,2388,584 
서울특별시 강서구 양천로75길 60,1833,2588,2424,591 
서울특별시 강서구 양천로77길 27,1723,0,2227,504 
서울특별시 강서구 양천로77길 31,2048,0,2910,862 
서울특별시 강서구 양천로77길 45,2232,2476,2924,692 
서울특별시 강서구 양천로7길 8,1382,1154,1770,388 
서울특별시 강서구 우장산로 103,1536,1923,2143,607 
서울특별시 강서구 우장산로 21-8,1639,0,2246,607 
서울특별시 강서구 우장산로 38,1933,2109,2281,348 
서울특별시 강서구 우장산로 47,2324,3196,2618,294 
서울특별시 강서구 우장산로 8,2274,2575,2706,432 
서울특별시 강서구 우장산로 82,1691,1832,2056,365 
서울특별시 강서구 우장산로 92,2182,2330,2696,514 
서울특별시 강서구 우장산로15길 47,1856,2050,2039,183 
서울특별시 강서구 우장산로2길 21-22,1704,1967,2294,590 
서울특별시 강서구 우장산로2길 21-27,1883,2282,2190,307 
서울특별시 강서구 우장산로2길 25,769,0,1403,634 
서울특별시 강서구 우장산로4길 25,1794,2067,2335,541 
서울특별시 강서구 우장산로4길 40,1923,0,2492,569 
서울특별시 강서구 우장산로4길 60,1872,2165,2301,429 
서울특별시 강서구 우장산로6길 21,1669,0,2020,351 
서울특별시 강서구 우장산로6길 52,1877,2064,2250,373 
서울특별시 강서구 우장산로6길 8,1696,0,1825,129 
서울특별시 강서구 우장산로8길 23,1757,1601,2173,416 
서울특별시 강서구 우장산로8길 28-7,1384,1485,1701,317 
서울특별시 강서구 우장산로8길 29,1557,1551,1432,-125 
서울특별시 강서구 우장산로8길 42,1809,1620,1770,-39 
서울특별시 강서구 우장산로8길 54,1415,0,1744,329 
서울특별시 강서구 우현로 26,1835,2369,1976,141 
서울특별시 강서구 우현로 67,2972,2754,4047,1075 
서울특별시 강서구 월정로 160,1711,1411,1906,195 
서울특별시 강서구 월정로14길 38,951,951,1295,344 
서울특별시 강서구 월정로14길 64,973,0,1051,78 
서울특별시 강서구 월정로16길 38,1456,1340,1534,78 
서울특별시 강서구 월정로20길 62-7,1749,1749,1749,0 
서울특별시 강서구 월정로20길 68-6,1686,0,1820,134 
서울특별시 강서구 월정로20길 78,2231,2218,2110,-121 
서울특별시 강서구 월정로20길 86-4,2624,3007,3346,722 
서울특별시 강서구 월정로20길 96,1969,1756,1914,-55 
서울특별시 강서구 초록마을로 121,1362,1484,1584,222 
서울특별시 강서구 초록마을로 166,1809,1763,1981,172 
서울특별시 강서구 초록마을로 176,1134,1149,1607,473 
서울특별시 강서구 초록마을로 71,635,0,1384,749 
서울특별시 강서구 초록마을로 75-3,1084,1066,1216,132 
서울특별시 강서구 초록마을로 77,1076,1190,1044,-32 
서울특별시 강서구 초록마을로15길 5,1393,1504,1413,20 
서울특별시 강서구 초록마을로6길 20,1108,1108,1163,55 
서울특별시 강서구 초원로 30,1470,1976,2440,970 
서울특별시 강서구 허준로 121,1716,2197,2398,682 
서울특별시 강서구 허준로 139,2734,3333,3857,1123 
서울특별시 강서구 허준로 16-9,2235,2474,2907,672 
서울특별시 강서구 허준로 175,2830,3500,3907,1077 
서울특별시 강서구 허준로 23,2272,2407,2990,718 
서울특별시 강서구 허준로 234,2788,3188,3871,1083 
서울특별시 강서구 허준로 47,2658,3334,3852,1194 
서울특별시 강서구 허준로 55-20,1989,2170,2182,193 
서울특별시 강서구 허준로 76,1964,2307,2659,695 
서울특별시 강서구 화곡로 176-19,2804,2721,2601,-203 
서울특별시 강서구 화곡로 176-22,2471,2751,2483,12 
서울특별시 강서구 화곡로 186-22,2668,2390,2444,-224 
서울특별시 강서구 화곡로 242,1224,1245,1452,228 
서울특별시 강서구 화곡로 292,1569,1623,1760,191 
서울특별시 강서구 화곡로 296,1658,1769,1729,71 
서울특별시 강서구 화곡로 341,1714,1863,1972,258 
서울특별시 강서구 화곡로 344,2305,2344,2351,46 
서울특별시 강서구 화곡로 347,1664,1871,1712,48 
서울특별시 강서구 화곡로 390,2408,2185,2791,383 
서울특별시 강서구 화곡로13길 107,1955,2615,2436,481 
서울특별시 강서구 화곡로14길 19,1496,1874,1880,384 
서울특별시 강서구 화곡로18길 19,1048,1189,1814,766 
서울특별시 강서구 화곡로18길 24,1668,1689,1940,272 
서울특별시 강서구 화곡로18길 30-11,1130,1084,1262,132 
서울특별시 강서구 화곡로18길 44-27,1316,0,1546,230 
서울특별시 강서구 화곡로26가길 10,1305,1687,1618,313 
서울특별시 강서구 화곡로27가길 29,1288,0,1314,26 
서울특별시 강서구 화곡로31다길 11,1370,0,1347,-23 
서울특별시 강서구 화곡로31다길 21,1647,1973,1697,50 
서울특별시 강서구 화곡로34길 23,1069,1182,968,-101 
서울특별시 강서구 화곡로35길 23-17,1169,1294,1564,395 
서울특별시 강서구 화곡로42가길 30,1888,1911,1888,0 
서울특별시 강서구 화곡로43가길 44,1689,0,2105,416 
서울특별시 강서구 화곡로53길 75,1624,1567,1651,27 
서울특별시 강서구 화곡로58길 68,1079,1370,857,-222 
서울특별시 강서구 화곡로59길 59,1583,2031,1747,164 
서울특별시 강서구 화곡로61길 49,1339,0,1385,46 
서울특별시 강서구 화곡로63가길 71,2904,3075,3690,786 
서울특별시 강서구 화곡로63길 93,2009,2256,1942,-67 
서울특별시 강서구 화곡로64길 50,2460,2137,2916,456 
서울특별시 강서구 화곡로66길 168,1751,1784,1893,142 
서울특별시 강서구 화곡로66길 173,2262,2703,3028,766 
서울특별시 강서구 화곡로66길 174,1794,2094,2974,1180 
서울특별시 강서구 화곡로66길 50,1593,0,3026,1433 
서울특별시 강서구 화곡로66길 80,1788,2050,1988,200 
서울특별시 강서구 화곡로66길 90,1767,2752,2780,1013 
서울특별시 강서구 화곡로68길 103,1515,2162,2279,764 
서울특별시 강서구 화곡로68길 115,2013,2412,2590,577 
서울특별시 강서구 화곡로68길 33,2170,2837,3066,896 
서울특별시 강서구 화곡로72길 56,1563,1930,2273,710 
서울특별시 관악구 관악로 125,2490,2734,3533,1043 
서울특별시 관악구 관악로 133,2534,2643,3299,765 
서울특별시 관악구 관악로 164,2210,2652,2995,785 
서울특별시 관악구 관악로 168,2122,2642,2662,540 
서울특별시 관악구 관악로 195,1930,2186,2334,404 
서울특별시 관악구 관악로 263,2060,3125,2766,706 
서울특별시 관악구 관악로 285,2072,2321,2735,663 
서울특별시 관악구 관악로 304,1955,2650,2394,439 
서울특별시 관악구 관악로15길 23-12,4002,3631,3333,-669 
서울특별시 관악구 관악로17길 8,3764,3752,3787,23 
서울특별시 관악구 관악로28길 80,1792,2068,2295,503 
서울특별시 관악구 관악로30길 12,2016,2899,2645,629 
서울특별시 관악구 관악로30길 27,2376,3179,3497,1121 
서울특별시 관악구 관악로37길 15,1435,0,2237,802 
서울특별시 관악구 관악로40길 60,1885,2485,2747,862 
서울특별시 관악구 관악로5길 42,2004,0,2617,613 
서울특별시 관악구 관악로6길 76,2063,0,2423,360 
서울특별시 관악구 관악로6길 86,2150,1906,2367,217 
서울특별시 관악구 관악로6길 99,1968,2541,2719,751 
서울특별시 관악구 관천로 38,3415,3396,3556,141 
서울특별시 관악구 관천로18길 32,1840,1666,2082,242 
서울특별시 관악구 관천로24길 3,1962,2231,2386,424 
서울특별시 관악구 관천로27길 2,2002,2110,2168,166 
서울특별시 관악구 광신길 160,1514,1692,1819,305 
서울특별시 관악구 구암5가길 49,1530,2631,2485,955 
서울특별시 관악구 구암길 95,1259,2108,3502,2243 
서울특별시 관악구 낙성대로 37,2166,3163,3285,1119 
서울특별시 관악구 낙성대로15길 66,2209,2196,2485,276 
서울특별시 관악구 낙성대역길 19,2331,2457,1528,-803 
서울특별시 관악구 난곡로 167,1375,1876,2180,805 
서울특별시 관악구 난곡로 30,1805,2058,2516,711 
서울특별시 관악구 난곡로 55,1708,2325,2405,697 
서울특별시 관악구 난곡로 66,1953,2335,2074,121 
서울특별시 관악구 난곡로35길 28-7,1482,1784,2025,543 
서울특별시 관악구 난곡로35길 68,1337,1432,1453,116 
서울특별시 관악구 난곡로47길 9,1613,1654,2030,417 
서울특별시 관악구 남부순환로 1430,2025,2256,2898,873 
서울특별시 관악구 남부순환로 1727-8,1752,0,2307,555 
서울특별시 관악구 남부순환로 1773,3639,3063,3143,-496 
서울특별시 관악구 남부순환로 1777-7,3258,3144,3254,-4 
서울특별시 관악구 남부순환로 1802,1834,2122,2393,559 
서울특별시 관악구 남부순환로 1811,1908,1908,2574,666 
서울특별시 관악구 남부순환로 1961-1,1931,0,2102,171 
서울특별시 관악구 남부순환로 1979,1926,1934,2418,492 
서울특별시 관악구 남부순환로 2068,1608,1820,1887,279 
서울특별시 관악구 남부순환로144길 71,1404,1269,1528,124 
서울특별시 관악구 남부순환로166길 90,1501,0,1170,-331 
서울특별시 관악구 남부순환로194길 7,1786,1932,2046,260 
서울특별시 관악구 남부순환로198길 10,1846,2011,2510,664 
서울특별시 관악구 남부순환로198길 7,2256,2352,2680,424 
서울특별시 관악구 남부순환로218길 1,3307,3340,2883,-424 
서울특별시 관악구 남부순환로218길 37,3439,2953,3186,-253 
서울특별시 관악구 남부순환로220길 29,3277,2895,3115,-162 
서울특별시 관악구 남부순환로230길 117,2094,0,2759,665 
서울특별시 관악구 남부순환로230길 93,1911,2100,2551,640 
서울특별시 관악구 남부순환로230길 94,1482,2127,2232,750 
서울특별시 관악구 남부순환로234길 42,1800,1812,2208,408 
서울특별시 관악구 남부순환로248길 56,1663,1758,2160,497 
서울특별시 관악구 남부순환로248길 78,1425,1533,1624,199 
서울특별시 관악구 남부순환로249길 13-12,2100,0,2246,146 
서울특별시 관악구 남부순환로249길 15,1863,1910,2299,436 
서울특별시 관악구 남부순환로249길 21,1748,1826,2222,474 
서울특별시 관악구 남부순환로256길 16,1675,1464,2077,402 
서울특별시 관악구 남부순환로256라길 11,2010,1812,2524,514 
서울특별시 관악구 남부순환로256라길 25,2058,2462,2893,835 
서울특별시 관악구 남부순환로260길 119,2032,0,2641,609 
서울특별시 관악구 남현12길 21,2397,0,2590,193 
서울특별시 관악구 남현1가길 42-3,1718,0,2377,659 
서울특별시 관악구 남현7길 20,2328,2714,2881,553 
서울특별시 관악구 남현7길 3,2117,2668,3254,1137 
서울특별시 관악구 남현길 113,1786,2640,3262,1476 
서울특별시 관악구 남현길 141,2073,2632,2706,633 
서울특별시 관악구 남현길 144,1923,2182,2110,187 
서울특별시 관악구 남현길 91,2538,2616,3398,860 
