doro,one,two,three,delta
서울특별시 강남구 도산대로46길 21,3788,4118,5070,1282 
서울특별시 강남구 도산대로50길 43,3966,4407,4982,1016 
서울특별시 강남구 도산대로70길 25,4230,4948,6021,1791 
서울특별시 강남구 도산대로70길 43,5162,0,5553,391 
서울특별시 강남구 도산대로78길 51,5449,5741,5838,389 
서울특별시 강남구 도산대로81길 69,3510,3988,4148,638 
서울특별시 강남구 도산대로83길 22,3779,4221,4274,495 
서울특별시 강남구 도산대로83길 27,4732,4688,4176,-556 
서울특별시 강남구 도산대로85길 30,4323,4875,4168,-155 
서울특별시 강남구 도산대로89길 35,4499,3985,4595,96 
서울특별시 강남구 도산대로89길 49,5359,6866,7236,1877 
서울특별시 강남구 도산대로92길 10,3911,4260,5153,1242 
서울특별시 강남구 도산대로96길 39,5506,5325,7324,1818 
서울특별시 강남구 도산대로98길 31,2494,0,2882,388 
서울특별시 강남구 밤고개로21길 25,3590,4485,5559,1969 
서울특별시 강남구 밤고개로26길 50,3788,4897,4856,1068 
서울특별시 강남구 밤고개로27길 20,3446,3590,4208,762 
서울특별시 강남구 봉은사로 312,3293,3481,3481,188 
서울특별시 강남구 봉은사로 474,3360,5280,4205,845 
서울특별시 강남구 봉은사로 516,4861,5075,5836,975 
서울특별시 강남구 봉은사로 645,5766,0,8512,2746 
서울특별시 강남구 봉은사로105길 12-7,5067,6744,6533,1466 
서울특별시 강남구 봉은사로109길 66-1,4292,4962,4250,-42 
서울특별시 강남구 봉은사로113길 25,4833,6081,7088,2255 
서울특별시 강남구 봉은사로11길 12,2266,3964,3576,1310 
서울특별시 강남구 봉은사로21길 19,2447,0,4120,1673 
서울특별시 강남구 봉은사로29길 35,4074,4278,4319,245 
서울특별시 강남구 봉은사로72길 33,4084,3831,4699,615 
서울특별시 강남구 봉은사로73길 23,5261,6142,7066,1805 
서울특별시 강남구 봉은사로81길 8,3607,3846,4453,846 
서울특별시 강남구 삼성로 150,6669,7005,8208,1539 
서울특별시 강남구 삼성로 151,6836,6673,7750,914 
서울특별시 강남구 삼성로 212,6762,6500,8599,1837 
서울특별시 강남구 삼성로 417,4330,4803,5841,1511 
서울특별시 강남구 삼성로 517,4855,4699,5243,388 
서울특별시 강남구 삼성로 629,8149,9521,10139,1990 
서울특별시 강남구 삼성로111길 8,6988,7825,9686,2698 
서울특별시 강남구 삼성로133길 20,4427,6167,6392,1965 
서울특별시 강남구 삼성로135길 15,4562,0,5702,1140 
서울특별시 강남구 삼성로147길 22,3349,4675,4814,1465 
서울특별시 강남구 삼성로4길 17,7076,6983,8857,1781 
서울특별시 강남구 삼성로51길 25,7361,8857,10451,3090 
서울특별시 강남구 삼성로51길 35,7704,8976,10662,2958 
서울특별시 강남구 삼성로51길 37,8528,7951,11873,3345 
서울특별시 강남구 삼성로64길 12,4586,5530,6022,1436 
서울특별시 강남구 삼성로64길 5,5034,5824,7166,2132 
서울특별시 강남구 삼성로85길 11,4434,4926,6290,1856 
서울특별시 강남구 삼성로85길 33,4356,5060,5449,1093 
서울특별시 강남구 삼성로85길 38,2713,3522,3506,793 
서울특별시 강남구 삼성로85길 42,2739,2717,3372,633 
서울특별시 강남구 삼성로99길 14,3672,4702,4825,1153 
서울특별시 강남구 선릉로 120,7366,7000,9644,2278 
서울특별시 강남구 선릉로 206,6083,6939,8430,2347 
서울특별시 강남구 선릉로 221,6465,7280,9067,2602 
서울특별시 강남구 선릉로 222,7043,6542,9339,2296 
서울특별시 강남구 선릉로 423,4937,5682,8209,3272 
서울특별시 강남구 선릉로 604,2820,0,3929,1109 
서울특별시 강남구 선릉로 7,10948,12651,15415,4467 
서울특별시 강남구 선릉로 748,4673,4858,5712,1039 
서울특별시 강남구 선릉로100길 42,3285,3012,3331,46 
서울특별시 강남구 선릉로107길 24,2488,0,3575,1087 
서울특별시 강남구 선릉로112길 53,3890,3961,5700,1810 
서울특별시 강남구 선릉로126길 22,4669,5981,7144,2475 
서울특별시 강남구 선릉로130길 19,6133,5690,8019,1886 
서울특별시 강남구 선릉로130길 20,5692,6136,6732,1040 
서울특별시 강남구 선릉로132길 54,4971,5515,6031,1060 
서울특별시 강남구 선릉로18길 12,3950,0,4431,481 
서울특별시 강남구 선릉로190길 112,4418,0,5897,1479 
