danjigubn,sedesu,nambang,sigog,siheg,gukag,eill,guard,danjicode,clean,food,water,ellbe,gisa,giha,cctv,gucha,amenities,doro,donli,danjiname,amenitiesCnt,price,market,school,station,bank,café,hospital ,ipji
아파트,616,지역난방,삼호건설,삼호건설,광인산업(주),8,10,A12013202,7,음식물쓰레기종량제,부스타방식,18,339,329,94,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 거북골로 154,북가좌동,북가좌삼호,4,2322,60,40,0,19,34,42,195
아파트,855,개별난방,럭키건설,럭키건설,세화종합관리(주),9,12,A12017001,7,차량수거방식,부스타방식,18,352,165,123,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",서울특별시 서대문구 이화여대길 50-12,대현동,대현럭키,5,3636,30,100,70,25,170,40,435
아파트,561,개별난방,동부건설,충정로 냉천구역 주택 재개발 조합,(주)무림하우징,6,6,A12070101,7,음식물쓰레기종량제,부스타방식,0,0,683,227,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",서울특별시 서대문구 독립문로14길 33,냉천동,돈의문센트레빌,8,4388,20,140,0,9,25,8,202
주상복합,258,개별난방,대림,마포로 제5구역 6-1지구 도심 재개발주택조합,,7,4,A12070201,5,거점장비수거방식,부스타방식,2,0,185,32,무,관리사무소,서울특별시 서대문구 서소문로 27,충정로3가,충정리시온,1,3181,30,60,100,23,83,21,317
아파트,294,개별난방,두산건설(주),신성주택(주),(주)토탈안전관리,4,4,A12071001,3,음식물쓰레기종량제,고가수조식,11,21,204,51,무,"관리사무소, 노인정, 자전거보관소",서울특별시 서대문구 모래내로 309,홍은동,홍은두산,3,2353,30,20,0,5,30,5,90
아파트,201,개별난방,홍은 제10구역 주택재개발 정비사업조함,동부건설(주),(주)무림하우징,4,4,A12071002,3,음식물쓰레기종량제,부스타방식,8,3,250,90,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 통일로 553,홍은동,홍은동부센트레빌,4,3027,30,0,20,2,2,7,61
아파트,581,개별난방,성원건설,연희3동B지구재건축조합,율산개발 유한회사,6,8,A12071101,6,음식물쓰레기종량제,고가수조식,17,111,621,95,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 서대문구 연희로32길 48,연희동,연희성원,6,2823,0,20,0,4,19,2,45
아파트,212,개별난방,임광토건,임광토건,,2,4,A12071102,2,기타,기타,4,0,224,42,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 동교로 291,연희동,연희임광아파트,4,3082,20,20,0,15,334,24,413
아파트,220,개별난방,대림,대림,율산개발(주),4,5,A12071103,3,음식물쓰레기종량제,부스타방식,11,179,23,24,무,"관리사무소, 노인정, 어린이놀이터",서울특별시 서대문구 연희로32길 20,연희동,연희대림아파트,3,2182,0,20,0,6,28,3,57
도시형 생활주택(주상복합),186,개별난방+기타,GS건설,무궁화신탁(서강냉동),자이에스앤디(주),1,2,A12071104,1,음식물쓰레기종량제,부스타방식,0,26,24,16,유,"관리사무소, 주민공동시설, 자전거보관소",서울특별시 서대문구 연희로5길 14,연희동,연희자이엘라,3,3991,30,20,0,11,328,22,411
아파트,473,지역난방,동부건설,주택조합,인덕종합관리,5,4,A12072801,6,차량수거방식,부스타방식,21,0,576,159,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 서대문구 거북골로 120,남가좌동,DMC센트레빌,5,4294,60,20,0,17,29,24,150
아파트,330,개별난방,현대사업개발,현대사업개발,(주)신현대관리,4,4,A12072802,2,음식물쓰레기종량제,부스타방식,0,15,100,33,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 가재울로 45,남가좌동,남가좌현대제2,4,2876,70,40,0,22,56,35,223
아파트,330,개별난방,현대사업개발,현대사업개발,(주)신현대관리,4,4,A12072802,2,음식물쓰레기종량제,부스타방식,0,15,100,33,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 가재울로 45,남가좌동,남가좌현대제2,4,2876,70,40,0,22,56,35,223
아파트,119,개별난방,비콘건설.청일건설,공보처주택조합 외,세화종합관리(주),4,2,A12076401,1,음식물쓰레기종량제,부스타방식,0,55,87,24,무,"관리사무소, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",서울특별시 서대문구 세무서8길 49,홍제동,홍제비콘드림힐,5,2593,40,40,20,14,26,49,189
아파트,267,개별난방,대림건설,Sh공사,(주)미래에이비엠,2,2,A12076601,1,음식물쓰레기종량제,부스타방식,3,31,50,32,무,"관리사무소, 노인정, 어린이놀이터, 기타",서울특별시 서대문구 거북골로 154,북가좌동,북가좌삼호제2,4,2322,60,40,0,19,34,42,195
아파트,267,개별난방,대림건설,Sh공사,(주)미래에이비엠,2,2,A12076601,1,음식물쓰레기종량제,부스타방식,3,31,50,32,무,"관리사무소, 노인정, 어린이놀이터, 기타",서울특별시 서대문구 거북골로 154,북가좌동,북가좌삼호제2,4,2322,60,40,0,19,34,42,195
아파트,246,개별난방,,,세화종합관리(주),1,2,A12078201,1,음식물쓰레기종량제,부스타방식,3,19,161,7,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 통일로34길 46,홍제동,인왕산현대,4,3114,30,0,20,9,17,37,113
아파트,246,개별난방,,,세화종합관리(주),1,2,A12078201,1,음식물쓰레기종량제,부스타방식,3,19,161,7,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 통일로34길 46,홍제동,인왕산현대,4,3114,30,0,20,9,17,37,113
아파트,939,개별난방,현대건설,현대건설,주식회사 푸른종합주택관리,8,8,A12078704,8,거점장비수거방식,고가수조식,22,380,750,139,무,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",서울특별시 서대문구 통일로34길 43,홍제동,홍제원 현대,5,3300,30,20,20,18,34,63,185
아파트,939,개별난방,현대건설,현대건설,주식회사 푸른종합주택관리,8,8,A12078704,8,거점장비수거방식,고가수조식,22,380,750,139,무,"관리사무소, 노인정, 어린이놀이터, 유치원, 자전거보관소",서울특별시 서대문구 통일로34길 43,홍제동,홍제원 현대,5,3300,30,20,20,18,34,63,185
아파트,700,개별난방,현대건설,현대건설,(주)쌍용개발,7,6,A12078705,7,음식물쓰레기종량제,고가수조식,18,194,603,77,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설",서울특별시 서대문구 통일로34길 46,홍제동,홍제인왕산현대,4,3114,30,0,20,9,17,37,113
아파트,700,개별난방,현대건설,현대건설,(주)쌍용개발,7,6,A12078705,7,음식물쓰레기종량제,고가수조식,18,194,603,77,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설",서울특별시 서대문구 통일로34길 46,홍제동,홍제인왕산현대,4,3114,30,0,20,9,17,37,113
아파트,228,개별난방,청구건설,청구건설,유원종합관리,3,2,A12078706,3,차량수거방식,고가수조식,6,3,173,62,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터",서울특별시 서대문구 통일로 332,홍제동,홍제청구3차,4,2871,20,40,20,1,5,6,92
아파트,482,개별난방,,,세화종합관리(주),3,2,A12078707,3,음식물쓰레기종량제,부스타방식,6,105,54,20,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 통일로34길 43,홍제동,홍제원현대임대,4,3300,30,20,20,18,34,63,185
아파트,482,개별난방,,,세화종합관리(주),3,2,A12078707,3,음식물쓰레기종량제,부스타방식,6,105,54,20,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 서대문구 통일로34길 43,홍제동,홍제원현대임대,4,3300,30,20,20,18,34,63,185
아파트,956,개별난방,두산건설(주),북아현시민아파트재건축주택조합,인덕종합관리(주),7,12,A12079501,6,음식물쓰레기종량제,부스타방식,11,175,540,122,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간",서울특별시 서대문구 이화여대8길 62,북아현동,북아현두산,5,3963,20,180,20,14,70,21,325
아파트,600,개별난방,극동건설,SH공사,(주)케이엠산업,5,4,A12079601,2,음식물쓰레기종량제,부스타방식,6,14,206,51,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소, 기타",서울특별시 서대문구 독립문공원길 17,현저동,독립문극동임대,6,3427,10,40,20,10,8,10,98
아파트,600,개별난방,극동건설,SH공사,(주)케이엠산업,5,4,A12079601,2,음식물쓰레기종량제,부스타방식,6,14,206,51,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소, 기타",서울특별시 서대문구 독립문공원길 17,현저동,독립문극동임대,6,3427,10,40,20,10,8,10,98
아파트,254,개별난방,현대건설,명성문화연립,(주)한영파트너스FH,3,2,A12081602,3,차량수거방식,고가수조식,7,256,44,39,무,"관리사무소, 노인정, 어린이놀이터",서울특별시 서대문구 수색로 154,북가좌동,월드컵현대,3,2878,50,100,40,3,18,5,216
아파트,660,지역난방,한양건설,한양,율산개발(주),7,14,A12081703,7,차량수거방식,부스타방식,15,326,0,64,무,"관리사무소, 노인정, 어린이놀이터",서울특별시 서대문구 응암로 28,북가좌동,디엠씨한양,3,2258,50,60,0,12,26,30,178
아파트,299,개별난방,유원건설,유원건설,,4,4,A12084302,2,차량수거방식,고가수조식,6,271,0,29,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설",서울특별시 서대문구 홍은중앙로1길 33,홍은동,홍은유원,5,1785,20,40,0,11,26,12,109
아파트,610,개별난방,현대산업개발(주),외환은행직장주택조합외 13개조합,인덕종합관리(주),6,12,A12084504,6,음식물쓰레기종량제,부스타방식,21,522,0,61,무,"관리사무소, 노인정, 어린이놀이터, 휴게시설, 자전거보관소",서울특별시 서대문구 연희로 377,홍은동,홍은현대,5,2448,30,60,20,12,25,39,186
아파트,998,개별난방,햔양건설,한양건설,(주)아주관리,8,21,A12085303,9,차량수거방식,부스타방식,22,348,487,107,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설, 유치원",서울특별시 서대문구 통일로25길 30,홍제동,홍제한양,6,2846,20,20,50,9,18,28,145
아파트,214,개별난방,태영(주),홍제3동 27통 재건축조합,광인산업(주),4,2,A12086001,2,차량수거방식,고가수조식,3,20,166,32,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",서울특별시 서대문구 세검정로3길 63,홍제동,홍제태영으뜸,6,2050,40,80,0,16,32,15,183
아파트,208,개별난방,삼성중공업(주),재건축조합,세화종합관리(주),4,2,A12101001,3,음식물쓰레기종량제,고가수조식,4,38,137,34,무,"관리사무소, 노인정, 어린이놀이터, 기타",서울특별시 마포구 마포대로 262,아현동,서서울삼성아파트,4,4452,20,140,70,16,31,43,320
아파트,192,개별난방,한화건설,한화건설,(주)엑스뻬제,2,4,A12102002,2,음식물쓰레기종량제,부스타방식,8,5,234,64,무,"관리사무소, 노인정, 어린이놀이터",서울특별시 마포구 마포대로10길 22,공덕동,공덕한화꿈에그린,3,4274,40,20,40,30,101,61,292
아파트,480,개별난방,현대건설,한국통신공사노조주택조합,동우씨엠(주),6,6,A12102005,4,음식물쓰레기종량제,고가수조식,12,333,0,66,유,"관리사무소, 노인정, 어린이놀이터",서울특별시 마포구 마포대로11길 84,공덕동,마포현대아파트,3,3947,20,120,0,22,39,28,229
아파트,683,개별난방,공덕2지구재개발주택조합,삼성물산,율산개발(주),7,7,A12102008,9,음식물쓰레기종량제,부스타방식,18,7,849,202,무,,서울특별시 마포구 마포대로20길 26,공덕동,삼성래미안공덕2차,0,4584,10,80,50,27,54,39,260
아파트,683,개별난방,공덕2지구재개발주택조합,삼성물산,율산개발(주),7,7,A12102008,9,음식물쓰레기종량제,부스타방식,18,7,849,202,무,,서울특별시 마포구 마포대로20길 26,공덕동,삼성래미안공덕2차,0,4584,10,80,50,27,54,39,260
아파트,366,개별난방,삼성물산(주),삼성물산(주),(주)동우개발,4,4,A12103002,4,차량수거방식,부스타방식,10,79,332,50,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",서울특별시 마포구 만리재로 60,신공덕동,신공덕3차삼성래미안,6,5467,30,40,0,27,78,41,216
주상복합,242,개별난방,대우건설,마포 1-47 지구 재개발조합,서일개발(주),4,3,A12103006,3,음식물쓰레기종량제,부스타방식,2,5,370,61,유,"관리사무소, 자전거보관소",서울특별시 마포구 백범로 199,신공덕동,대우메트로디오빌,2,3756,30,20,200,41,138,106,535
아파트,982,중앙난방,삼성건설,삼성건설,세화종합관리(주),12,16,A12104005,8,음식물쓰레기종량제,고가수조식,29,702,378,140,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 도화길 28,도화동,마포삼성,5,4874,40,60,80,45,128,90,443
아파트,"1,222",중앙난방,우성건설,도화3지구재개발지구,,15,20,A12104007,13,음식물쓰레기종량제,고가수조식,33,805,333,160,무,"관리사무소, 노인정, 어린이놀이터, 커뮤니티공간",서울특별시 마포구 삼개로 38,도화동,마포도화우성아파트,4,4003,40,40,20,23,70,34,227
아파트,339,개별난방,쌍용,쌍용,세화종합관리(주),4,4,A12105001,5,음식물쓰레기종량제,고가수조식,8,38,299,76,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 마포대로4라길 30,마포동,마포쌍용황금,5,3829,30,20,20,18,66,27,181
아파트,456,지역난방,삼성물산(주)건설부분,국민연금관리공단제3직장조합외 9개조합,우리관리(주),5,4,A12106001,6,음식물쓰레기종량제,고가수조식,10,93,291,64,무,"관리사무소, 노인정, 어린이놀이터",서울특별시 마포구 토정로32길 11,토정동,토정한강삼성,3,5108,40,0,20,20,50,17,147
아파트,534,지역난방,GS건설(주),진주아파트 재건축조합,율산개발(주),6,8,A12109001,5,차량수거방식,부스타방식,13,0,892,132,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",서울특별시 마포구 독막로42길 2,염리동,마포자이,7,5564,60,60,20,41,174,95,450
아파트,160,개별난방,경남기업(주),청옥산업개발(주),대경종합관리(주),2,3,A12111001,2,차량수거방식,부스타방식,8,59,123,47,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",서울특별시 마포구 신수로 81,신수동,마포경남아너스빌,6,3690,60,60,70,13,67,25,295
아파트,510,개별난방,현대건설(주),현석구역재개발조합,(주)무림하우징,5,6,A12112002,5,음식물쓰레기종량제,부스타방식,14,59,529,131,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",서울특별시 마포구 신수로 15,현석동,마포강변힐스테이트,7,4708,50,40,20,3,24,14,151
아파트,538,개별난방,GS건설,GS건설,(주)한영파트너스에프에이치,5,6,A12114001,6,음식물쓰레기종량제,고가수조식,12,164,369,70,유,"관리사무소, 노인정, 보육시설, 어린이놀이터, 휴게시설",서울특별시 마포구 창전로 26,신정동,서강GS,5,4238,50,20,20,5,38,15,148
아파트,488,지역난방,지에스건설주식회사,서강주택재건축정비사업조합,율산개발(주),6,6,A12115001,9,차량수거방식,부스타방식,14,0,994,159,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",서울특별시 마포구 토정로 158,하중동,한강밤섬자이아파트,8,4188,30,20,20,5,50,11,136
아파트,447,개별난방,한진중공업,한진중공업,서림주택관리(주),5,6,A12119004,4,음식물쓰레기종량제,부스타방식,8,47,428,64,무,"관리사무소, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 토정로 167,창전동,서강해모로,4,4309,30,40,50,5,54,14,193
아파트,635,개별난방,쌍용건설,쌍용건설,서림주택관리(주),6,7,A12119006,9,음식물쓰레기종량제,부스타방식,26,144,609,202,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 독막로 145,창전동,서강쌍용예가,6,4446,50,60,50,10,57,19,246
아파트,640,개별난방,삼성물산(주)건설부분,창전구역주택개량재개발조합,광인산업(주),6,12,A12119007,6,음식물쓰레기종량제,부스타방식,21,90,552,156,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 서강로 95,창전동,창전삼성,4,3478,70,0,20,21,165,52,328
아파트,640,개별난방,삼성물산(주)건설부분,창전구역주택개량재개발조합,광인산업(주),6,12,A12119007,6,음식물쓰레기종량제,부스타방식,21,90,552,156,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 서강로 95,창전동,창전삼성,4,3478,70,0,20,21,165,52,328
아파트,189,지역난방,대림산업,대림산업,(주)동우개발,3,3,A12125001,2,차량수거방식,부스타방식,8,11,196,44,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 월드컵북로 216,성산동,성산2차e-편한세상,4,3088,30,60,0,12,24,22,148
아파트,795,지역난방,대림산업,대림산업,(주) 태룡에스디,8,7,A12125202,7,차량수거방식,부스타방식,18,67,922,134,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 월드컵북로30길 9-22,성산동,성산월드타운대림,4,3495,30,100,0,13,34,38,215
아파트,436,지역난방,대동건설,SH공사,,6,6,A12127001,5,음식물쓰레기종량제,부스타방식,10,0,546,88,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 상암산로1길 52,상암동,상암월드컵파크5단지,6,3711,30,60,0,23,91,28,232
아파트,484,지역난방,일성건설,서울특별시 SH공사,(주)두온종합관리,6,6,A12127002,8,음식물쓰레기종량제,부스타방식,22,2,702,110,무,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 상암산로1길 57,상암동,상암월드컵파크6단지,5,3709,40,40,0,8,15,5,108
아파트,657,지역난방,서광산업,SH공사,대원종합관리(주),7,6,A12127004,6,음식물쓰레기종량제,고가수조식,16,107,437,89,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 월드컵북로47길 46,상암동,상암월드컵파크2단지,6,4679,20,20,0,17,64,24,145
아파트,733,지역난방,진흥기업,SH공사,세화종합관리(주),7,12,A12127005,7,차량수거방식,부스타방식,25,4,914,188,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 자전거보관소",서울특별시 마포구 상암산로1길 92,상암동,상암월드컵파크7단지,7,3508,30,60,0,15,21,9,135
아파트,761,지역난방,태영건설,SH공사,우리관리(주),8,8,A12127006,8,차량수거방식,부스타방식,21,0,965,193,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 유치원",서울특별시 마포구 상암산로1길 24,상암동,상암월드컵파크4단지,6,4066,20,40,0,30,133,40,263
아파트,167,개별난방,동원산업건설,동원,서림주택관리(주),3,2,A12170401,2,음식물쓰레기종량제,부스타방식,7,7,160,61,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 도화4길 41,도화동,마포동원베네스트,4,5176,40,40,140,38,104,101,463
주상복합,662,개별난방,한화,군인공제회,세화종합관리(주),15,8,A12170402,13,기타,부스타방식,7,0,971,114,유,"관리사무소, 자전거보관소",서울특별시 마포구 마포대로 33,도화동,마포한화오벨리스크,2,3643,50,40,50,38,126,77,381
아파트,597,개별난방,삼성물산(주) 건설부분,공덕제3구역 주택재개발조합,(주)타워피엠씨,5,6,A12170601,8,차량수거방식,부스타방식,20,79,556,188,무,"관리사무소, 노인정, 보육시설, 주민공동시설, 자전거보관소",서울특별시 마포구 마포대로11길 50,공덕동,삼성래미안공덕4차,5,5834,20,100,0,20,46,33,219
아파트,199,개별난방,삼성물산,에스에이치공사,공덕2삼성아파트제2관리소,2.2,2,A12170602,1,,부스타방식,2,152,25,35,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 마포대로20길 26,공덕동,공덕2삼성임대,4,4584,10,80,50,27,54,39,260
아파트,199,개별난방,삼성물산,에스에이치공사,공덕2삼성아파트제2관리소,2.2,2,A12170602,1,,부스타방식,2,152,25,35,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 마포대로20길 26,공덕동,공덕2삼성임대,4,4584,10,80,50,27,54,39,260
아파트,794,개별난방,삼성물산(주),공덕제5구역주택재개발정비사업소조합,신원주택관리(주),8,8,A12170603,10,차량수거방식,부스타방식,23,0,933,266,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 커뮤니티공간, 자전거보관소",서울특별시 마포구 마포대로 167,공덕동,공덕래미안5차,10,4289,30,40,20,31,72,37,230
아파트,530,지역난방,삼성물산,상수제2구역주택재개발정비사업조합,(주)무림하우징,7,5,A12170702,7,차량수거방식,부스타방식,16,0,680,169,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소",서울특별시 마포구 독막로20나길 21,상수동,래미안밤섬리베뉴 2,9,5654,30,40,40,10,122,12,254
아파트,320,개별난방,현대산업개발,현대산업개발,세화종합관리(주),4,4,A12171101,3,차량수거방식,부스타방식,7,0,366,72,유,"관리사무소, 노인정, 어린이놀이터, 휴게시설",서울특별시 마포구 모래내로9길 6,성산동,월드컵아이파크1단지,4,4017,20,40,50,20,56,39,225
아파트,313,개별난방,경남기업(주),신수지역주택조합,서일개발(주),4,5,A12171201,3,차량수거방식,부스타방식,6,56,303,72,유,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 독막로28길 10,신수동,밤섬경남아너스빌,5,3812,60,80,20,11,76,23,270
주상복합,350,개별난방,(주)포스코건설,주식회사한국토지신탁,무림하우징,7,2,A12172201,3,차량수거방식,부스타방식,2,54,201,50,무,관리사무소,서울특별시 마포구 신촌로 150,노고산동,신촌포스빌,1,3347,60,60,60,21,284,71,556
아파트,558,개별난방,GS건설(주),대흥3구역재개발조합,자이에스앤디(주),6,7,A12172401,7,음식물쓰레기종량제,부스타방식,12,0,758,188,유,"관리사무소, 노인정, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",서울특별시 마포구 서강대길 40,대흥동,마포자이2차,7,5400,80,120,50,15,100,17,382
도시형 생활주택(주상복합),203,개별난방,서희건설,대선건설,(주)로이안,3,2,A12172402,2,음식물쓰레기종량제,부스타방식,2,38,0,16,무,"관리사무소, 주민공동시설",서울특별시 마포구 신촌로 160,대흥동,서희스타힐스,2,4738,50,80,70,16,227,56,499
아파트,617,개별난방,GS건설,메이저디벨로프먼트,우리관리(주),18,26,A12174601,18,거점장비수거방식,부스타방식,14,0,1247,192,유,"관리사무소, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",서울특별시 마포구 양화로 45,서교동,메세나폴리스,7,3870,10,40,70,31,281,47,479
주상복합,120,개별난방,삼성물산(주),마포3-2지구 도시환경정비조합,세화종합관리,8,2,A12175202,3,차량수거방식,부스타방식,4,,150,60,유,"관리사무소, 주민공동시설, 어린이놀이터, 자전거보관소, 기타",서울특별시 마포구 마포대로 201,아현동,마포트라팰리스2차,5,3281,30,100,50,26,50,33,289
아파트,"3,885",개별난방,"삼성물산,대우건설",아현제3구역주택재개발정비사업조합,서림주택관리(주),28,35,A12175203,49,음식물쓰레기종량제,부스타방식,118,0,4580,1180,유,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소, 기타",서울특별시 마포구 마포대로 195,아현동,마포래미안푸르지오,9,6436,30,100,50,24,44,32,280
주상복합,192,개별난방,한화건설,서미트캠프,우리관리(주),4,4,A12177801,3,음식물쓰레기종량제,부스타방식,8,0,335,64,무,"관리사무소, 어린이놀이터",서울특별시 마포구 창전로 45,창전동,서강한화오벨리스크스위트,2,3350,50,80,50,6,43,17,246
아파트,311,개별난방,삼성물산,에스에이치공사,효성에프엠씨(주),2.4,2,A12177802,2,음식물쓰레기종량제,고가수조식,5,45,45,31,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 서강로 95,창전동,창전삼성임대,4,3478,70,0,20,21,165,52,328
아파트,311,개별난방,삼성물산,에스에이치공사,효성에프엠씨(주),2.4,2,A12177802,2,음식물쓰레기종량제,고가수조식,5,45,45,31,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 서강로 95,창전동,창전삼성임대,4,3478,70,0,20,21,165,52,328
아파트,290,개별난방,이수건설(주),신공덕제5구역주택재개발조합,서림주택관리(주),4,4,A12179001,4,음식물쓰레기종량제,부스타방식,6,28,291,85,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 백범로 230,신공덕동,브라운스톤공덕,4,5514,30,40,170,36,83,84,443
아파트,103,개별난방,삼성물산주식회사,삼성물산주식회사,신의기술(주),2,2,A12179003,1,차량수거방식,고가수조식,1,3,70,28,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 만리재로 74,신공덕동,신공덕2삼성래미안제2,4,4200,20,40,0,10,52,12,134
아파트,103,개별난방,삼성물산주식회사,삼성물산주식회사,신의기술(주),2,2,A12179003,1,차량수거방식,고가수조식,1,3,70,28,유,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 만리재로 74,신공덕동,신공덕2삼성래미안제2,4,4200,20,40,0,10,52,12,134
아파트,476,개별난방,태영,LH,(주)미래에이비엠,14,6,A12179004,11,음식물쓰레기종량제,부스타방식,17,2,935,185,유,"관리사무소, 노인정, 문고, 어린이놀이터, 유치원, 커뮤니티공간, 자전거보관소",서울특별시 마포구 백범로 205,신공덕동,마포펜트라우스,7,4569,30,40,200,37,113,78,498
아파트,195,개별난방,현대산업개발,신공덕제6구역정비조합,(주)경진관리,3,2,A12179005,2,음식물쓰레기종량제,부스타방식,9,0,224,79,무,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",서울특별시 마포구 만리재로 36,신공덕동,공덕아이파크,4,5205,30,60,80,30,98,54,352
아파트,184,지역난방,양우건설사,LH공사,신화비엠씨(주),3,2,A12179501,2,음식물쓰레기종량제,부스타방식,6,32,137,64,무,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 월드컵북로42가길 11,상암동,상암휴먼시아2단지아파트,5,4479,40,20,60,11,61,14,206
아파트,213,지역난방,양우건설,LH공사,,4,2,A12179502,3,음식물쓰레기종량제,부스타방식,10,88,168,75,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 월드컵북로43길 11,상암동,상암휴먼시아1단지,6,3024,40,20,20,16,77,17,190
아파트,588,지역난방,sh공사,한신,광인산업(주),6,6,A12179503,5,차량수거방식,부스타방식,17,58,600,127,무,,서울특별시 마포구 월드컵북로 502-37,상암동,상암월드컵파크11단지,0,3238,30,20,0,9,7,4,70
아파트,"1,036",지역난방,신창건설(주)->우방건설,SH공사,대원종합관리(주),8,8,A12179504,10,차량수거방식,부스타방식,31,39,1136,330,유,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 자전거보관소",서울특별시 마포구 월드컵북로 501,상암동,상암월드컵파크9단지,6,3225,30,20,0,5,5,4,64
